Wall time,Step,Value
1534523427.5945554,6000,0.19249457120895386
1534524603.0112634,16000,0.18803183734416962
1534524974.839562,19000,0.18808823823928833
1534525650.8923755,25000,0.1868659108877182
1534527414.0825498,41000,0.18411017954349518
1534527616.4252295,43000,0.18343445658683777
1534527819.4769914,45000,0.18369503319263458
1534527921.266787,46000,0.18366269767284393
1534528123.4837961,48000,0.18401478230953217
1534528802.0160573,54000,0.18268893659114838
1534528903.7634776,55000,0.1821422278881073
1534529176.1092215,57000,0.18285979330539703
1534530160.445101,66000,0.18211516737937927
1534530768.0134637,72000,0.18245072662830353
1534530939.4985836,73000,0.18337707221508026
1534531040.7698634,74000,0.18221226334571838
1534531142.1992438,75000,0.18250395357608795
1534531649.017938,80000,0.1816556304693222
1534532532.640953,88000,0.1806563287973404
1534533313.8774042,95000,0.18179090321063995
1534534195.721983,103000,0.1813369244337082
1534534572.3377795,106000,0.18141189217567444
1534534673.554169,107000,0.17952249944210052
1534535456.2079792,114000,0.18006469309329987
1534535963.3841398,119000,0.18015135824680328
1534536847.4032965,127000,0.17978598177433014
1534537328.1763234,131000,0.178841233253479
1534538315.1951303,140000,0.1793825626373291
1534538619.1401813,143000,0.18012525141239166
1534539502.1154518,151000,0.18085378408432007
1534540083.6084297,156000,0.18099747598171234
1534540388.0701954,159000,0.18036490678787231
1534541374.6859639,168000,0.181071937084198
1534541553.677681,169000,0.1809384524822235
1534542543.2977998,178000,0.17958985269069672
1534542644.8669713,179000,0.1786501705646515
1534543152.5129669,184000,0.17832249402999878
1534543433.931908,186000,0.17842942476272583
1534543534.8120866,187000,0.17871302366256714
1534543940.701611,191000,0.17830656468868256
1534544829.2224977,199000,0.17781949043273926
1534545718.2009275,207000,0.1786111295223236
1534545819.7614446,208000,0.1787969470024109
1534546001.8678012,209000,0.17872333526611328
1534546406.1144195,213000,0.178486630320549
1534547602.76058,224000,0.17791467905044556
1534548292.4760354,230000,0.17663955688476562
1534548880.5949428,235000,0.1770002543926239
1534549184.7911448,238000,0.17808419466018677
1534550567.051645,250000,0.17770151793956757
1534551174.9489033,256000,0.1769382804632187
1534551766.4201767,261000,0.17729642987251282
1534552070.409943,264000,0.17634086310863495
1534552559.3061945,268000,0.17711804807186127
1534552964.9755795,272000,0.17642177641391754
1534553250.7168758,274000,0.17892198264598846
1534555348.3389041,293000,0.17860479652881622
1534555942.2664537,298000,0.17908361554145813
1534556043.8717546,299000,0.17920133471488953
1534556549.5791416,304000,0.17741872370243073
1534557042.294399,308000,0.17836016416549683
1534557143.8509078,309000,0.1781100332736969
1534557346.7371702,311000,0.17725734412670135
1534558246.1167717,319000,0.1763160079717636
1534558347.6682649,320000,0.17596733570098877
1534559043.3086643,326000,0.17647729814052582
1534559144.346326,327000,0.17782986164093018
1534559245.7755039,328000,0.17626319825649261
1534559639.3814273,331000,0.17790473997592926
1534560641.954366,340000,0.17660799622535706
1534561542.7474737,348000,0.17624646425247192
1534563348.8908167,364000,0.17746149003505707
1534563752.2479002,368000,0.17728756368160248
1534564452.1306527,374000,0.17731060087680817
1534564951.454997,378000,0.1769743412733078
1534565153.8898017,380000,0.17579466104507446
1534566462.3874507,392000,0.17719769477844238
