Wall time,Step,Value
1546674684.4912746,1000,0.218873992562294
1546674787.091243,2000,0.20036251842975616
1546674890.9256592,3000,0.19663192331790924
1546674996.3633072,4000,0.19590628147125244
1546675101.2855854,5000,0.19472448527812958
1546675200.3418155,6000,0.1938227117061615
1546675303.210253,7000,0.1933269500732422
1546675402.05215,8000,0.19274494051933289
1546675649.0350277,9000,0.19195562601089478
1546675748.495511,10000,0.19159458577632904
1546675850.9074907,11000,0.19174879789352417
1546675950.794597,12000,0.19045127928256989
1546676050.205057,13000,0.19052737951278687
1546676152.4398675,14000,0.18930836021900177
1546676252.730944,15000,0.18859648704528809
1546676351.8446822,16000,0.1891196221113205
1546676498.8944643,17000,0.18880175054073334
1546676605.6039217,18000,0.18912114202976227
1546676707.2430363,19000,0.18797904253005981
1546676806.203256,20000,0.18761713802814484
1546676909.2870307,21000,0.18748512864112854
1546677012.2571504,22000,0.1878003180027008
1546677111.897049,23000,0.18787045776844025
1546677211.124425,24000,0.18777672946453094
1546677362.8809526,25000,0.18744783103466034
1546677466.701504,26000,0.18842053413391113
1546677567.9309304,27000,0.1880662441253662
1546677676.9545968,28000,0.18800532817840576
1546677780.2953506,29000,0.18726564943790436
1546677880.1035767,30000,0.18803580105304718
1546677979.4798975,31000,0.18785861134529114
1546678082.8789265,32000,0.1876407414674759
1546678235.749781,33000,0.186919704079628
1546678336.9025111,34000,0.18759463727474213
1546678443.6702416,35000,0.18733713030815125
1546678552.8092387,36000,0.1866191178560257
1546678651.785309,37000,0.18744324147701263
1546678754.7049582,38000,0.18792368471622467
1546678856.5929623,39000,0.1864318698644638
1546678955.2627985,40000,0.18740050494670868
1546679104.5521653,41000,0.1879587322473526
1546679203.6599917,42000,0.18806469440460205
1546679313.4047654,43000,0.186769500374794
1546679417.4195728,44000,0.18664991855621338
1546679522.7946138,45000,0.18607258796691895
1546679625.0139973,46000,0.18510057032108307
1546679731.9931333,47000,0.1860993653535843
1546679838.9044719,48000,0.18636710941791534
1546679987.5793927,49000,0.18605853617191315
1546680087.014423,50000,0.18559102714061737
1546680186.3095522,51000,0.18562310934066772
1546680291.1315393,52000,0.1854492574930191
1546680396.8261714,53000,0.18536442518234253
1546680496.8054287,54000,0.18545350432395935
1546680597.3731456,55000,0.18504640460014343
1546680701.3215613,56000,0.18556451797485352
1546680849.3404968,57000,0.18460042774677277
1546680948.1120763,58000,0.1852722018957138
1546681054.9801693,59000,0.18468135595321655
1546681154.1120894,60000,0.18525779247283936
1546681253.4289494,61000,0.1860104352235794
1546681353.0262637,62000,0.18558143079280853
1546681457.8985462,63000,0.18586641550064087
1546681556.8322577,64000,0.1849696934223175
1546681706.293828,65000,0.18502669036388397
1546681807.4928854,66000,0.18464504182338715
1546681909.8785677,67000,0.18574678897857666
